conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d4956f26-d8e3-4cca-9114-a3098f4fafbf,skill/competence,transversal,ymmärtää kirjoitettua vietnamia,released,,Lukea ja ymmärtää vietnaminkielisiä tekstejä.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,vietnam
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,knowledge,transversal,valloni,released,,Vallonian kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d59ef10f-ad20-4791-957d-b315196ecdc2,knowledge,transversal,jiddiš,released,,Jiddišin kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,knowledge,transversal,bulgaria,released,,Bulgarian kieli. Bulgaria on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d687187f-9f8f-4c3f-b0a0-230595b7f3af,skill/competence,transversal,ymmärtää kirjoitettua kurdia,released,,Lukea ja ymmärtää kurdinkielisiä tekstejä.,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,kurdi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d6dbc6ea-9bb6-4a8f-9bc2-e9299d74fff9,skill/competence,transversal,viestiä suullisesti vietnamiksi,released,puhua vietnamia,Puhua vietnamin kieltä.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,vietnam
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d88d546f-c06d-40f0-9810-3a914abb5444,skill/competence,transversal,ymmärtää kirjoitettua bosniaa,released,,Lukea ja ymmärtää bosniankielisiä tekstejä.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosnia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d937b5aa-8337-4d47-8281-6a67c905569a,skill/competence,transversal,ymmärtää puhuttua jiddišiä,released,,Ymmärtää puhuttua jiddišiä.,http://data.europa.eu/esco/skill/d59ef10f-ad20-4791-957d-b315196ecdc2,jiddiš
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,knowledge,transversal,hindi,released,,Hindin kieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d974d81a-a8db-430d-a3fe-b064bd6a374f,skill/competence,transversal,ymmärtää puhuttua turkkia,released,,Ymmärtää puhuttua turkkia.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,turkki
