conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a2bc03b-e30d-429b-9549-5784cb92ae2f,painetut piirilevyt,released,knowledge,cross-sector,,"Painetut piirilevyt (PCB) ovat olennaisia rakenneosia lähes kaikissa elektronisissa laitteissa. Ne koostuvat ohuista kiekoista tai alustoista, joihin asennetaan elektronisia rakenneosia, kuten mikrosiruja. Elektroniset rakenneosat kytketään sähköisesti johtavien ratojen ja vaimentimien kautta.",http://data.europa.eu/esco/isced-f/0612,tietokanta- ja verkkosuunnittelu ja -hallinta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a322874-e32f-4cd8-9683-badce67a7f73,kehittää automaattisia ohjelmistotestejä,released,skill/competence,sector-specific,kehittää automaattisia ohjelmistojen testejä | suunnitella automaattisia ohjelmistojen testejä | suunnitella automaattisia ohjelmistotestejä | laatia automaattisia ohjelmistotestejä | luoda automaattisia ohjelmistojen testejä | luoda automaattisia ohjelmistotestejä | laatia automaattisia ohjelmistojen testejä,"Laatia erikoiskielten tai -työkalujen avulla ohjelmistotestisarjoja, jotka voidaan suorittaa testityökaluilla, jotta voidaan säästää resursseja ja parantaa testauksen tehokkuutta ja vaikuttavuutta.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1,suunnitella tieto- ja viestintäteknisiä järjestelmiä tai sovelluksia | suunnitella ohjelmistotestaus
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a536b36-c5c7-4d10-bf67-a4fb0f8549b2,auditointitekniikat,released,knowledge,cross-sector,,"Tekniikat ja menetelmät, joilla tuetaan tietojen, toimintalinjojen, toimien ja tulosten järjestelmällistä ja riippumatonta tarkastelua tietokoneavusteisia tarkastusvälineitä ja -tekniikoita (CAAAT), kuten taulukkoja, tietokantoja, tilastoanalyyseja ja liiketoimintatietoja, käyttäen.",http://data.europa.eu/esco/isced-f/0411,kirjanpito ja verotus
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a57def2-7b11-4b50-95b8-b16498795ad9,käyttää valoladontalaitetta,released,skill/competence,occupation-specific,,"Käyttää ladontalaitetta, joka siirtää sähköisen tekstin ja grafiikan suoraan filmille, painolevyille tai valoherkälle paperille. Kuvan tuottaa laser- ja rasterikuvaprosessori. Niillä tarkastetaan asiakirjat ennen painolaattojen valmistamista.",http://data.europa.eu/esco/skill/dcb9c446-bb08-44de-89b6-851ac2903eaf,käyttää painatteiden ja valokuvien tuotannon laitteita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a876489-7ad8-4a13-b09c-c9b8e97a302e,vesiputousmallinen kehitys,released,knowledge,sector-specific,vesiputousmenetelmä | vesiputouskehittäminen | vesiputousmalli,Vesiputousmallinen kehitysmalli on menetelmä ohjelmistojärjestelmien ja sovellusten suunnittelemiseksi.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,ICT-projektinhallintamenetelmät | ohjelmisto- ja sovelluskehitys ja -analyysi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6ad40ca3-dc34-4442-b23f-0b1b28936f56,huolehtia responsiivisesta suunnittelusta,released,skill/competence,occupation-specific,,"Varmistaa, että verkkosivusto käyttää uusinta teknologiaa ja että se on monialustayhteensopiva ja mobiiliystävällinen.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,suunnitella tieto- ja viestintäteknisiä järjestelmiä tai sovelluksia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6ae8306a-4f9d-4410-ac82-6406f3cbd16a,hoitaa toimistojärjestelmiä,released,skill/competence,cross-sector,,"Hallinnoida toimistojärjestelmiä, joita tarvitaan toimistotilojen sujuvaan ja päivittäiseen käyttöön, kuten sisäisiä viestintäjärjestelmiä, yrityksen sisäisiä ohjelmistoja ja toimistoverkkoja, ja ylläpitää niiden palvelutasoa.",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,asentaa tietokonejärjestelmiä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b21150f-e704-4758-b102-63fd3412543c,luoda 3D-hahmoja,released,skill/competence,sector-specific,,Kehittää 3D-malleja muuttamalla ja digitoimalla aiemmin suunniteltuja hahmoja erikoistuneilla 3D-työkaluilla.,http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2 | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,käyttää 3D-tietokonegrafiikkaohjelmistoa | soveltaa 3D-kuvantamistekniikoita | käyttää tietokoneavusteisia suunnittelu- ja piirustustyökaluja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b222aac-688c-4c9d-acbc-7fe25d37565e,pitää järjestelmälokeja,released,skill/competence,cross-sector,pitää järjestelmän toimintalokeja,Ylläpitää järjestelmälokeja tai käsikirjoja laitteiden testauksen ja toiminnan dokumentointia varten.,http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,ylläpitää operatiivisia tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,käyttää digitaalisia laitteita,released,skill/competence,transversal,,"Käyttää laitteita, kuten näyttöä, hiirtä, näppäimistöä, tallennusvälineitä, tulostimia ja skannereita, erilaisten toimintojen toteuttamiseen. Tällaisia toimintoja ovat esimerkiksi virran kytkeminen, laitteen käynnistäminen, sulkeminen ja uudelleenkäynnistäminen sekä tiedostojen tallentaminen.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,työskennellä digitaalisten laitteiden ja sovellusten kanssa
